"id","name","latitude","longitude","population"
"2f14f81d-e64b-4791-bd9f-735ab46cece9","Тома","43.985053","-90.503892","12997"
"3b349706-3af6-4c77-b8fe-c0d32010aad0","Джейнсвилл","42.682626","-89.021579","69278"
"2b4bed04-c5ce-45bc-95b8-a25f2a8ce8a4","Аплтон","44.268679","-88.400506","203665"
"abf4b3e9-e6e9-4ce3-82cd-4d9f536aae7a","Паркерсберг","39.266659","-81.561647","61935"
"c1be5eb3-a73b-486e-9382-71800b98f7d9","Уайт-Салфер-Спрингс","37.79388","-80.303481","2407"
"b6fdb73a-c6f0-47bf-9057-490b16b9c2ca","Кларксберг","39.283273","-80.336916","28773"
"0cfcb4ba-0671-487f-bd46-e2349d9e2054","Довер","39.158087","-75.524703","76039"
"f91d3285-d086-4e95-92fa-3b511763c900","Сент-Чарльз","38.603056","-76.938932","69208"
"4a0e7b9d-0e0a-4781-9b92-46ca3e018978","Аннаполис","38.97833","-76.492499","81300"
"64ef04f2-91cf-411b-b1e3-72094443d6b6","Хейгерстаун","39.641649","-77.72028","79662"
"63c9070f-3268-42a3-beff-d4c6d95b847e","Патерсон","40.919995","-74.170005","151205"
"589c0629-aac4-42b7-a39d-5a19c108e4aa","Саратога-Спрингс","43.082963","-73.785016","55793"
"9f7e209e-40b0-4055-bcde-4aefd6125b81","Покипси","41.700231","-73.921416","170996"
"1b65efa9-6df6-47e9-be67-d1556d049028","Платсберг","44.694984","-73.457982","29238"
"94639827-8469-4f5e-ba1d-415a2faa79c3","Бивер-Фолс","40.751943","-80.319423","120125"
"d9566fce-ed0d-4e61-b9a9-1774908a2675","Алтуна","40.518598","-78.394967","78607"
"b31949de-b24c-40ba-a11c-a988ac0136f8","Уильямспорт","41.241086","-77.001383","56877"
"cde78286-bc56-4e6a-b1cb-926156e1bc85","Ланкастер","40.037775","-76.305766","209489"
"3e229962-ba90-431a-b51d-c3c8ed47a902","Аллентаун","40.599988","-75.500028","496442"
"5f5baf6d-e5a2-4526-8552-2003db762938","Пуэрто-ла-Крус","10.169959","-64.680016","546616"
"97576973-7f1a-4333-af57-fea87c2dea18","Анако","9.440004","-64.460004","117596"
"bae8990c-4478-48e4-9c96-b9a73855b59b","Лос-Текес","10.41997","-67.020028","303470"
"f1a45230-9a2b-47a8-a6db-84c4c48ed92a","Валье-де-Ла-Паскуа","9.209992","-66.019986","89080"
"4343a24e-a7cd-4d22-bcaf-ace5cd7d7f81","Окумаре-дель-Туй","10.119988","-66.779991","166072"
"e4dc4dcf-75c1-4e5f-84cf-d91dab3b14c5","Карупано","10.670006","-63.230001","126293"
"84428a7b-14f6-41c3-ae6a-8197582daf78","Сан-Фернандо","10.280462","-61.459377","166039"
"f8d9fd13-2dec-4162-b6b6-16eabdf185b6","Браунсвег","5.020015","-55.169951","4582"
"528fe82d-4d33-487a-89af-050b402d5d41","Мунго","5.630004","-54.409997","7766"
